WTeam,LTeam,WLoc
New Orleans Pelicans,Cleveland Cavaliers,H
Dallas Mavericks,Phoenix Suns,H
Utah Jazz,Orlando Magic,H
Portland Trail Blazers,Chicago Bulls,H
Los Angeles Lakers,Detroit Pistons,H
Miami Heat,Boston Celtics,H
Denver Nuggets,Los Angeles Clippers,H
San Antonio Spurs,Oklahoma City Thunder,H
Sacramento Kings,Detroit Pistons,H
Atlanta Hawks,Philadelphia 76ers,V
Washington Wizards,Milwaukee Bucks,H
Indiana Pacers,New York Knicks,V
Toronto Raptors,Brooklyn Nets,H
Houston Rockets,Cleveland Cavaliers,H
Dallas Mavericks,Minnesota Timberwolves,V
Portland Trail Blazers,Charlotte Hornets,H
Utah Jazz,Los Angeles Lakers,H
Golden State Warriors,Chicago Bulls,H
Detroit Pistons,Los Angeles Clippers,V
Miami Heat,Memphis Grizzlies,H
Orlando Magic,Boston Celtics,H
Minnesota Timberwolves,New Orleans Pelicans,H
Oklahoma City Thunder,San Antonio Spurs,H
Phoenix Suns,Denver Nuggets,H
Sacramento Kings,Charlotte Hornets,H
Utah Jazz,Chicago Bulls,H
Philadelphia 76ers,New York Knicks,V
Toronto Raptors,Washington Wizards,V
Milwaukee Bucks,Atlanta Hawks,V
Orlando Magic,Houston Rockets,H
Golden State Warriors,Dallas Mavericks,V
Denver Nuggets,Portland Trail Blazers,H
Cleveland Cavaliers,Los Angeles Lakers,V
Brooklyn Nets,Boston Celtics,H
Houston Rockets,Memphis Grizzlies,H
Charlotte Hornets,San Antonio Spurs,V
Utah Jazz,Detroit Pistons,H
Sacramento Kings,Portland Trail Blazers,H
New Orleans Pelicans,Los Angeles Clippers,V
Indiana Pacers,Phoenix Suns,H
Philadelphia 76ers,Minnesota Timberwolves,H
Atlanta Hawks,Oklahoma City Thunder,H
Milwaukee Bucks,Miami Heat,H
